epoch,accuracy,loss,val_accuracy,val_loss
0,0.3672848045825958,1.3318322896957397,0.4149855971336365,1.284029245376587
1,0.642956018447876,0.9939839243888855,0.6714697480201721,0.9061991572380066
2,0.797121524810791,0.5749030709266663,0.7146974205970764,0.7549823522567749
3,0.8508164882659912,0.4040474593639374,0.6945244669914246,0.7750692963600159
4,0.8771104216575623,0.332470566034317,0.6858789920806885,0.7909442782402039
5,0.9083864092826843,0.26389649510383606,0.7002881765365601,0.8306729197502136
6,0.9255466461181641,0.21752719581127167,0.6858789920806885,0.8926787376403809
7,0.9388319849967957,0.1905694305896759,0.6829971075057983,0.9203879833221436
8,0.9468585848808289,0.1663498878479004,0.6887608170509338,0.9580115675926208
9,0.9562690258026123,0.13962407410144806,0.6829971075057983,1.0496987104415894
10,0.9604207277297974,0.12351056188344955,0.6974063515663147,1.0711182355880737
11,0.9692776203155518,0.11404693126678467,0.6829971075057983,1.1340752840042114
12,0.9690008163452148,0.10490056127309799,0.6829971075057983,1.1328004598617554
13,0.9670633673667908,0.10459701716899872,0.6772334575653076,1.2043119668960571
14,0.9706615209579468,0.09226516634225845,0.7031700015068054,1.254072904586792
15,0.971491813659668,0.08962550759315491,0.6887608170509338,1.3258411884307861
16,0.9725989699363708,0.08146721869707108,0.6887608170509338,1.3435534238815308
17,0.973429262638092,0.0851421058177948,0.6829971075057983,1.3590059280395508
18,0.974259614944458,0.08042599260807037,0.6858789920806885,1.3685126304626465
19,0.9745364189147949,0.07548905164003372,0.6916426420211792,1.4186700582504272
20,0.9767506122589111,0.0764361023902893,0.6887608170509338,1.3958265781402588
21,0.9773041605949402,0.06648591160774231,0.6974063515663147,1.414920687675476
22,0.9759202599525452,0.0693754330277443,0.680115282535553,1.4288042783737183
23,0.9773041605949402,0.06575846672058105,0.6743515729904175,1.4722251892089844
24,0.9784113168716431,0.06235876306891441,0.680115282535553,1.5001941919326782
